City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
129,saint anthony,US,2022-05-27 04:14:54,45.0205,-93.218,54.25,86,0,4.61,clear sky,0.0,0
130,pitimbu,BR,2022-05-27 04:14:54,-7.4706,-34.8086,73.99,84,28,13.06,scattered clouds,0.0,0
131,constitucion,CL,2022-05-27 04:14:55,-35.3333,-72.4167,49.48,63,100,4.54,overcast clouds,0.0,0
132,beira,MZ,2022-05-27 04:14:55,-19.8436,34.8389,66.29,100,20,4.61,mist,0.0,0
133,kruisfontein,ZA,2022-05-27 04:14:55,-34.0033,24.7314,51.17,90,5,4.54,clear sky,0.0,0
134,narsaq,GL,2022-05-27 04:14:56,60.9167,-46.05,41.22,97,100,4.85,light rain,0.0,0
135,esperance,AU,2022-05-27 04:14:56,-33.8667,121.9,65.41,50,8,2.84,clear sky,0.0,0
136,tuktoyaktuk,CA,2022-05-27 04:14:57,69.4541,-133.0374,33.66,94,100,8.93,overcast clouds,0.0,0
137,leshan,CN,2022-05-27 04:14:57,29.5623,103.7639,68.36,93,99,3.11,overcast clouds,0.0,0
138,cabo san lucas,MX,2022-05-27 04:11:12,22.8909,-109.9124,79.11,49,0,4.0,clear sky,0.0,0
139,brae,GB,2022-05-27 04:14:58,60.3964,-1.353,46.51,79,39,18.97,light rain,0.0,0
140,jamestown,US,2022-05-27 04:10:01,42.097,-79.2353,67.51,91,100,8.05,light rain,0.0,0
141,guerrero negro,MX,2022-05-27 04:14:58,27.9769,-114.0611,62.37,85,0,13.4,clear sky,0.0,0
142,sechura,PE,2022-05-27 04:14:59,-5.5569,-80.8222,65.97,79,7,13.96,clear sky,0.0,0
143,mount isa,AU,2022-05-27 04:14:59,-20.7333,139.5,80.37,21,0,8.05,clear sky,0.0,0
144,terrak,NO,2022-05-27 04:14:59,65.087,12.3715,46.27,96,100,4.59,overcast clouds,0.0,0
145,fortuna,US,2022-05-27 04:15:00,40.5982,-124.1573,53.94,93,100,11.5,overcast clouds,0.0,0
146,chokurdakh,RU,2022-05-27 04:15:00,70.6333,147.9167,33.48,52,30,9.26,scattered clouds,0.0,0
147,altay,CN,2022-05-27 04:15:01,47.8667,88.1167,72.7,57,76,5.48,broken clouds,0.0,0
